quote_date,country,cpi_yoy_pct
20210101,CN,-0.3000
20210201,CN,-0.2000
20210301,CN,0.4000
20210401,CN,0.9000
20210501,CN,1.3000
20210601,CN,1.1000
20210701,CN,1.0000
20210801,CN,0.8000
20210901,CN,0.7000
20211001,CN,1.5000
20211101,CN,2.3000
20211201,CN,1.5000
20220101,CN,0.9000
20220201,CN,0.9000
20220301,CN,1.5000
20220401,CN,2.1000
20220501,CN,2.1000
20220601,CN,2.5000
20220701,CN,2.7000
20220801,CN,2.5000
20220901,CN,2.8000
20221001,CN,2.1000
20221101,CN,1.6000
20221201,CN,1.8000
20230101,CN,2.1000
20230201,CN,1.0000
20230301,CN,0.7000
20230401,CN,0.1000
20230501,CN,0.2000
20230601,CN,0.0000
20230701,CN,-0.3000
20230801,CN,0.1000
20230901,CN,0.0000
20231001,CN,-0.2000
20231101,CN,-0.5000
20231201,CN,-0.3000
20240101,CN,-0.8000
20240201,CN,0.7000
20240301,CN,0.1000
20240401,CN,0.3000
20240501,CN,0.3000
20240601,CN,0.2000
20240701,CN,0.5000
20240801,CN,0.6000
20240901,CN,0.4000
20241001,CN,0.3000
20241101,CN,0.2000
20241201,CN,0.1000
20250101,CN,0.5000
20250201,CN,-0.7000
20250301,CN,-0.1000
20250401,CN,-0.1000
20250501,CN,-0.1000
20250601,CN,0.1000
20250701,CN,0.0000
20250801,CN,-0.4000
20250901,CN,-0.3000
20251001,CN,0.2000
20251101,CN,0.7000
20251201,CN,0.8000
20260101,CN,0.2000
20260201,CN,1.3000
